"indicator_name","column_name"
"Changes in inventories (current LCU)","changes_in_inventories_current_lcu"
"Changes in inventories (current US$)","changes_in_inventories_current_us"
"GNI (constant LCU)","gni_constant_lcu"
"GNI per capita (constant LCU)","gni_per_capita_constant_lcu"
"Gross capital formation (constant LCU)","gross_capital_formation_constant_lcu"
"Gross fixed capital formation (constant LCU)","gross_fixed_capital_formation_constant_lcu"
"Gross fixed capital formation (current LCU)","gross_fixed_capital_formation_current_lcu"
"Gross national expenditure (constant LCU)","gross_national_expenditure_constant_lcu"
"Gross national expenditure deflator (base year varies by country)","gross_national_expenditure_deflator_base_year_varies_by_count"
"Chemicals (% of value added in manufacturing)","chemicals_pct_of_value_added_in_manufacturing"
"Consumer price index (2010 = 100)","consumer_price_index_2010_100"
"Food, beverages and tobacco (% of value added in manufacturing)","food_beverages_and_tobacco_pct_of_value_added_in_manufacturin"
"Gross fixed capital formation, private sector (current LCU)","gross_fixed_capital_formation_private_sector_current_lcu"
"Hospital beds (per 1,000 people)","hospital_beds_per_1000_people"
"Lending interest rate (%)","lending_interest_rate_pct"
"Machinery and transport equipment (% of value added in manufacturing)","machinery_and_transport_equipment_pct_of_value_added_in_manuf"
"Net ODA provided, total (% of GNI)","net_oda_provided_total_pct_of_gni"
"Net ODA provided, total (constant 2021 US$)","net_oda_provided_total_constant_2021_us"
"Net ODA provided, total (current US$)","net_oda_provided_total_current_us"
"Net secondary income (Net current transfers from abroad) (current LCU)","net_secondary_income_net_current_transfers_from_abroad_curren_1"
"Net secondary income (Net current transfers from abroad) (current US$)","net_secondary_income_net_current_transfers_from_abroad_curren_2"
"Other manufacturing (% of value added in manufacturing)","other_manufacturing_pct_of_value_added_in_manufacturing"
"Real interest rate (%)","real_interest_rate_pct"
"Textiles and clothing (% of value added in manufacturing)","textiles_and_clothing_pct_of_value_added_in_manufacturing"
"Mortality rate, neonatal (per 1,000 live births)","mortality_rate_neonatal_per_1000_live_births"
"Net ODA provided to the least developed countries (% of GNI)","net_oda_provided_to_the_least_developed_countries_pct_of_gni"
"Net ODA provided, to the least developed countries (current US$)","net_oda_provided_to_the_least_developed_countries_current_us"
"Net secondary income (Net current transfers from abroad) (constant LCU)","net_secondary_income_net_current_transfers_from_abroad_consta"
"Number of neonatal deaths","number_of_neonatal_deaths"
"Physicians (per 1,000 people)","physicians_per_1000_people"
"Ratio of female to male labor force participation rate (%) (national estimate)","ratio_of_female_to_male_labor_force_participation_rate_pct_na"
"Agriculture, forestry, and fishing, value added (constant LCU)","agriculture_forestry_and_fishing_value_added_constant_lcu"
"Agriculture, forestry, and fishing, value added (current LCU)","agriculture_forestry_and_fishing_value_added_current_lcu"
"Gross value added at basic prices (GVA) (constant LCU)","gross_value_added_at_basic_prices_gva_constant_lcu"
"Industry (including construction), value added (constant LCU)","industry_including_construction_value_added_constant_lcu"
"Industry (including construction), value added (current LCU)","industry_including_construction_value_added_current_lcu"
"Manufacturing, value added (constant LCU)","manufacturing_value_added_constant_lcu"
"Manufacturing, value added (current LCU)","manufacturing_value_added_current_lcu"
"Services, value added (constant LCU)","services_value_added_constant_lcu"
"Services, value added (current LCU)","services_value_added_current_lcu"
"Annual freshwater withdrawals, total (% of internal resources)","annual_freshwater_withdrawals_total_pct_of_internal_resources"
"Annual freshwater withdrawals, total (billion cubic meters)","annual_freshwater_withdrawals_total_billion_cubic_meters"
"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","level_of_water_stress_freshwater_withdrawal_as_a_proportion_o"
"Wholesale price index (2010 = 100)","wholesale_price_index_2010_100"
"Taxes less subsidies on products (constant LCU)","taxes_less_subsidies_on_products_constant_lcu"
"Commercial service exports (current US$)","commercial_service_exports_current_us"
"Commercial service imports (current US$)","commercial_service_imports_current_us"
"Communications, computer, etc. (% of service exports, BoP)","communications_computer_etc_pct_of_service_exports_bop"
"Communications, computer, etc. (% of service imports, BoP)","communications_computer_etc_pct_of_service_imports_bop"
"Computer, communications and other services (% of commercial service exports)","computer_communications_and_other_services_pct_of_commercial_exp"
"Computer, communications and other services (% of commercial service imports)","computer_communications_and_other_services_pct_of_commercial_imp"
"Current account balance (% of GDP)","current_account_balance_pct_of_gdp"
"Current account balance (BoP, current US$)","current_account_balance_bop_current_us"
"Discrepancy in expenditure estimate of GDP (constant LCU)","discrepancy_in_expenditure_estimate_of_gdp_constant_lcu"
"Exports of goods and services (BoP, current US$)","exports_of_goods_and_services_bop_current_us"
"Exports of goods, services and primary income (BoP, current US$)","exports_of_goods_services_and_primary_income_bop_current_us"
"External balance on goods and services (constant LCU)","external_balance_on_goods_and_services_constant_lcu"
"Foreign direct investment, net (BoP, current US$)","foreign_direct_investment_net_bop_current_us"
"Goods exports (BoP, current US$)","goods_exports_bop_current_us"
"Goods imports (BoP, current US$)","goods_imports_bop_current_us"
"Gross savings (% of GDP)","gross_savings_pct_of_gdp"
"Gross savings (% of GNI)","gross_savings_pct_of_gni"
"Gross savings (current LCU)","gross_savings_current_lcu"
"Gross savings (current US$)","gross_savings_current_us"
"Imports of goods and services (BoP, current US$)","imports_of_goods_and_services_bop_current_us"
"Imports of goods, services and primary income (BoP, current US$)","imports_of_goods_services_and_primary_income_bop_current_us"
"Net capital account (BoP, current US$)","net_capital_account_bop_current_us"
"Net errors and omissions (BoP, current US$)","net_errors_and_omissions_bop_current_us"
"Net financial account (BoP, current US$)","net_financial_account_bop_current_us"
"Net primary income (BoP, current US$)","net_primary_income_bop_current_us"
"Net secondary income (BoP, current US$)","net_secondary_income_bop_current_us"
"Net trade in goods (BoP, current US$)","net_trade_in_goods_bop_current_us"
"Net trade in goods and services (BoP, current US$)","net_trade_in_goods_and_services_bop_current_us"
"Portfolio investment, net (BoP, current US$)","portfolio_investment_net_bop_current_us"
"Primary income payments (BoP, current US$)","primary_income_payments_bop_current_us"
"Primary income receipts (BoP, current US$)","primary_income_receipts_bop_current_us"
"Reserves and related items (BoP, current US$)","reserves_and_related_items_bop_current_us"
"Risk premium on lending (lending rate minus treasury bill rate, %)","risk_premium_on_lending_lending_rate_minus_treasury_bill_rate"
"Secondary income receipts (BoP, current US$)","secondary_income_receipts_bop_current_us"
"Secondary income, other sectors, payments (BoP, current US$)","secondary_income_other_sectors_payments_bop_current_us"
"Service exports (BoP, current US$)","service_exports_bop_current_us"
"Service imports (BoP, current US$)","service_imports_bop_current_us"
"Trade in services (% of GDP)","trade_in_services_pct_of_gdp"
"Transport services (% of commercial service exports)","transport_services_pct_of_commercial_service_exports"
"Transport services (% of commercial service imports)","transport_services_pct_of_commercial_service_imports"
"Transport services (% of service exports, BoP)","transport_services_pct_of_service_exports_bop"
"Transport services (% of service imports, BoP)","transport_services_pct_of_service_imports_bop"
"Travel services (% of commercial service exports)","travel_services_pct_of_commercial_service_exports"
"Travel services (% of commercial service imports)","travel_services_pct_of_commercial_service_imports"
"Travel services (% of service exports, BoP)","travel_services_pct_of_service_exports_bop"
"Travel services (% of service imports, BoP)","travel_services_pct_of_service_imports_bop"
"Financial intermediary services indirectly Measured (FISIM) (current LCU)","financial_intermediary_services_indirectly_measured_fisim_curr"
"Contraceptive prevalence, any method (% of married women ages 15-49)","contraceptive_prevalence_any_method_pct_of_married_women_ages"
"Contraceptive prevalence, any modern method (% of married women ages 15-49)","contraceptive_prevalence_any_modern_method_pct_of_married_wome"
"Deposit interest rate (%)","deposit_interest_rate_pct"
"Unemployment, female (% of female labor force) (national estimate)","unemployment_female_pct_of_female_labor_force_national_estima"
"Unemployment, male (% of male labor force) (national estimate)","unemployment_male_pct_of_male_labor_force_national_estimate"
"Unemployment, total (% of total labor force) (national estimate)","unemployment_total_pct_of_total_labor_force_national_estimate"
"International migrant stock, total","international_migrant_stock_total"
"Mobile cellular subscriptions","mobile_cellular_subscriptions"
"Mobile cellular subscriptions (per 100 people)","mobile_cellular_subscriptions_per_100_people"
"Net bilateral aid flows from DAC donors, Australia (current US$)","net_bilateral_aid_flows_from_dac_donors_australia_current_us"
"Financial intermediary services indirectly Measured (FISIM) (constant LCU)","financial_intermediary_services_indirectly_measured_fisim_cons"
"ICT service exports (% of service exports, BoP)","ict_service_exports_pct_of_service_exports_bop"
"ICT service exports (BoP, current US$)","ict_service_exports_bop_current_us"
"Insurance and financial services (% of commercial service exports)","insurance_and_financial_services_pct_of_commercial_service_exp"
"Insurance and financial services (% of commercial service imports)","insurance_and_financial_services_pct_of_commercial_service_imp"
"Insurance and financial services (% of service exports, BoP)","insurance_and_financial_services_pct_of_service_exports_bop"
"Insurance and financial services (% of service imports, BoP)","insurance_and_financial_services_pct_of_service_imports_bop"
"Net ODA received (% of imports of goods, services and primary income)","net_oda_received_pct_of_imports_of_goods_services_and_primary"
"Gini index","gini_index"
"Income share held by fourth 20%","income_share_held_by_fourth_20pct"
"Income share held by highest 10%","income_share_held_by_highest_10pct"
"Income share held by highest 20%","income_share_held_by_highest_20pct"
"Income share held by lowest 10%","income_share_held_by_lowest_10pct"
"Income share held by lowest 20%","income_share_held_by_lowest_20pct"
"Income share held by second 20%","income_share_held_by_second_20pct"
"Income share held by third 20%","income_share_held_by_third_20pct"
"Poverty gap at $3.00 a day (2021 PPP) (%)","poverty_gap_at_3_00_a_day_2021_ppp_pct"
"Poverty gap at $4.20 a day (2021 PPP) (%)","poverty_gap_at_4_20_a_day_2021_ppp_pct"
"Poverty gap at $8.30 a day (2021 PPP) (%)","poverty_gap_at_8_30_a_day_2021_ppp_pct"
"Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)","poverty_headcount_ratio_at_3_00_a_day_2021_ppp_pct_of_populat"
"Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population)","poverty_headcount_ratio_at_4_20_a_day_2021_ppp_pct_of_populat"
"Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population)","poverty_headcount_ratio_at_8_30_a_day_2021_ppp_pct_of_populat"
"Poverty headcount ratio at societal poverty line (% of population)","poverty_headcount_ratio_at_societal_poverty_line_pct_of_popul"
"Proportion of people living below 50 percent of median income (%)","proportion_of_people_living_below_50_percent_of_median_income_"
"Prosperity gap (average shortfall from a prosperity standard of $28/day)","prosperity_gap_average_shortfall_from_a_prosperity_standard_o"
"Net bilateral aid flows from DAC donors, Portugal (current US$)","net_bilateral_aid_flows_from_dac_donors_portugal_current_us"
"Persistence to grade 5, female (% of cohort)","persistence_to_grade_5_female_pct_of_cohort"
"Persistence to grade 5, male (% of cohort)","persistence_to_grade_5_male_pct_of_cohort"
"Persistence to grade 5, total (% of cohort)","persistence_to_grade_5_total_pct_of_cohort"
"Persistence to last grade of primary, female (% of cohort)","persistence_to_last_grade_of_primary_female_pct_of_cohort"
"Persistence to last grade of primary, male (% of cohort)","persistence_to_last_grade_of_primary_male_pct_of_cohort"
"Persistence to last grade of primary, total (% of cohort)","persistence_to_last_grade_of_primary_total_pct_of_cohort"
"PNG, commercial banks and other creditors (NFL, current US$)","png_commercial_banks_and_other_creditors_nfl_current_us"
"PPG, commercial banks (NFL, current US$)","ppg_commercial_banks_nfl_current_us"
"PPG, IBRD (DOD, current US$)","ppg_ibrd_dod_current_us"
"PPG, IDA (DOD, current US$)","ppg_ida_dod_current_us"
"PPG, official creditors (NFL, US$)","ppg_official_creditors_nfl_us"
"PPG, private creditors (NFL, US$)","ppg_private_creditors_nfl_us"
"Primary completion rate, female (% of relevant age group)","primary_completion_rate_female_pct_of_relevant_age_group"
"Primary completion rate, male (% of relevant age group)","primary_completion_rate_male_pct_of_relevant_age_group"
"Primary completion rate, total (% of relevant age group)","primary_completion_rate_total_pct_of_relevant_age_group"
"Primary education, duration (years)","primary_education_duration_years"
"Primary education, pupils","primary_education_pupils"
"Primary education, pupils (% female)","primary_education_pupils_pct_female"
"Primary school starting age (years)","primary_school_starting_age_years"
"Progression to secondary school (%)","progression_to_secondary_school_pct"
"Progression to secondary school, female (%)","progression_to_secondary_school_female_pct"
"Progression to secondary school, male (%)","progression_to_secondary_school_male_pct"
"Public and publicly guaranteed debt service (% of GNI)","public_and_publicly_guaranteed_debt_service_pct_of_gni"
"Pupil-teacher ratio, preprimary","pupil_teacher_ratio_preprimary"
"Repeaters, primary, female (% of female enrollment)","repeaters_primary_female_pct_of_female_enrollment"
"Repeaters, primary, male (% of male enrollment)","repeaters_primary_male_pct_of_male_enrollment"
"Repeaters, primary, total (% of total enrollment)","repeaters_primary_total_pct_of_total_enrollment"
"School enrollment, preprimary (% gross)","school_enrollment_preprimary_pct_gross"
"School enrollment, primary (% gross)","school_enrollment_primary_pct_gross"
"School enrollment, primary (gross), gender parity index (GPI)","school_enrollment_primary_gross_gender_parity_index_gpi"
"School enrollment, primary and secondary (gross), gender parity index (GPI)","school_enrollment_primary_and_secondary_gross_gender_parity_in"
"School enrollment, primary, female (% gross)","school_enrollment_primary_female_pct_gross"
"School enrollment, primary, male (% gross)","school_enrollment_primary_male_pct_gross"
"School enrollment, secondary (% gross)","school_enrollment_secondary_pct_gross"
"School enrollment, secondary (gross), gender parity index (GPI)","school_enrollment_secondary_gross_gender_parity_index_gpi"
"School enrollment, secondary, female (% gross)","school_enrollment_secondary_female_pct_gross"
"School enrollment, secondary, male (% gross)","school_enrollment_secondary_male_pct_gross"
"School enrollment, tertiary (% gross)","school_enrollment_tertiary_pct_gross"
"Secondary education, duration (years)","secondary_education_duration_years"
"Secondary education, general pupils","secondary_education_general_pupils"
"Secondary education, general pupils (% female)","secondary_education_general_pupils_pct_female"
"Secondary education, pupils","secondary_education_pupils"
"Secondary education, pupils (% female)","secondary_education_pupils_pct_female"
"Secondary education, vocational pupils","secondary_education_vocational_pupils"
"Secondary education, vocational pupils (% female)","secondary_education_vocational_pupils_pct_female"
"Short-term debt (% of total external debt)","short_term_debt_pct_of_total_external_debt"
"Total debt service (% of GNI)","total_debt_service_pct_of_gni"
"Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","total_greenhouse_gas_emissions_excluding_lulucf_mt_co2e"
"Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_"
"Total natural resources rents (% of GDP)","total_natural_resources_rents_pct_of_gdp"
"Total reserves (% of total external debt)","total_reserves_pct_of_total_external_debt"
"Use of IMF credit (DOD, current US$)","use_of_imf_credit_dod_current_us"
"Women Business and the Law Index Score (scale 1-100)","women_business_and_the_law_index_score_scale_1_100"
"Adjusted savings: consumption of fixed capital (% of GNI)","adjusted_savings_consumption_of_fixed_capital_pct_of_gni"
"Adjusted savings: consumption of fixed capital (current US$)","adjusted_savings_consumption_of_fixed_capital_current_us"
"Adjusted savings: education expenditure (% of GNI)","adjusted_savings_education_expenditure_pct_of_gni"
"Adjusted savings: education expenditure (current US$)","adjusted_savings_education_expenditure_current_us"
"Adjusted savings: mineral depletion (% of GNI)","adjusted_savings_mineral_depletion_pct_of_gni"
"Adjusted savings: mineral depletion (current US$)","adjusted_savings_mineral_depletion_current_us"
"Adjusted savings: net forest depletion (% of GNI)","adjusted_savings_net_forest_depletion_pct_of_gni"
"Adjusted savings: net forest depletion (current US$)","adjusted_savings_net_forest_depletion_current_us"
"Air transport, passengers carried","air_transport_passengers_carried"
"Air transport, registered carrier departures worldwide","air_transport_registered_carrier_departures_worldwide"
"Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","carbon_dioxide_co2_emissions_total_excluding_lulucf_mt_co2e"
"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","carbon_dioxide_co2_emissions_excluding_lulucf_per_capita_t_co"
"Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","carbon_dioxide_co2_emissions_from_building_energy_mt_co2e"
"Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","carbon_dioxide_co2_emissions_from_fugitive_emissions_energy_m"
"Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","carbon_dioxide_co2_emissions_from_industrial_combustion_energ"
"Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","carbon_dioxide_co2_emissions_from_industrial_processes_mt_co2e"
"Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","carbon_dioxide_co2_emissions_from_power_industry_energy_mt_co"
"Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","carbon_dioxide_co2_emissions_from_transport_energy_mt_co2e"
"Forest rents (% of GDP)","forest_rents_pct_of_gdp"
"Lower secondary school starting age (years)","lower_secondary_school_starting_age_years"
"Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","methane_ch4_emissions_total_excluding_lulucf_mt_co2e"
"Methane (CH4) emissions from Agriculture (Mt CO2e)","methane_ch4_emissions_from_agriculture_mt_co2e"
"Methane (CH4) emissions from Building (Energy) (Mt CO2e)","methane_ch4_emissions_from_building_energy_mt_co2e"
"Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","methane_ch4_emissions_from_fugitive_emissions_energy_mt_co2e"
"Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e)","methane_ch4_emissions_from_industrial_combustion_energy_mt_co2"
"Methane (CH4) emissions from Industrial Processes (Mt CO2e)","methane_ch4_emissions_from_industrial_processes_mt_co2e"
"Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","methane_ch4_emissions_from_power_industry_energy_mt_co2e"
"Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","methane_ch4_emissions_from_transport_energy_mt_co2e"
"Methane (CH4) emissions from Waste (Mt CO2e)","methane_ch4_emissions_from_waste_mt_co2e"
"Mineral rents (% of GDP)","mineral_rents_pct_of_gdp"
"Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","nitrous_oxide_n2o_emissions_total_excluding_lulucf_mt_co2e"
"Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","nitrous_oxide_n2o_emissions_from_agriculture_mt_co2e"
"Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","nitrous_oxide_n2o_emissions_from_building_energy_mt_co2e"
"Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","nitrous_oxide_n2o_emissions_from_fugitive_emissions_energy_mt"
"Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e)","nitrous_oxide_n2o_emissions_from_industrial_combustion_energy"
"Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","nitrous_oxide_n2o_emissions_from_industrial_processes_mt_co2e"
"Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","nitrous_oxide_n2o_emissions_from_power_industry_energy_mt_co2e"
"Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","nitrous_oxide_n2o_emissions_from_transport_energy_mt_co2e"
"Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","nitrous_oxide_n2o_emissions_from_waste_mt_co2e"
"Pupil-teacher ratio, secondary","pupil_teacher_ratio_secondary"
"Secondary education, teachers","secondary_education_teachers"
"Adjusted savings: energy depletion (current US$)","adjusted_savings_energy_depletion_current_us"
"Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","carbon_dioxide_co2_emissions_from_agriculture_mt_co2e"
"Carbon dioxide (CO2) emissions from Waste (Mt CO2e)","carbon_dioxide_co2_emissions_from_waste_mt_co2e"
"Net financial flows, IBRD (NFL, current US$)","net_financial_flows_ibrd_nfl_current_us"
"Net financial flows, IDA (NFL, current US$)","net_financial_flows_ida_nfl_current_us"
"Adjusted net enrollment rate, primary (% of primary school age children)","adjusted_net_enrollment_rate_primary_pct_of_primary_school_a"
"Adjusted net enrollment rate, primary, female (% of primary school age children)","adjusted_net_enrollment_rate_primary_female_pct_of_primary_sc"
"Adjusted net enrollment rate, primary, male (% of primary school age children)","adjusted_net_enrollment_rate_primary_male_pct_of_primary_scho"
"Adolescents out of school (% of lower secondary school age)","adolescents_out_of_school_pct_of_lower_secondary_school_age"
"Adolescents out of school, female (% of female lower secondary school age)","adolescents_out_of_school_female_pct_of_female_lower_secondar"
"Adolescents out of school, male (% of male lower secondary school age)","adolescents_out_of_school_male_pct_of_male_lower_secondary_sc"
"Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)","carbon_intensity_of_gdp_kg_co2e_per_constant_2015_us_of_gdp"
"Children out of school (% of primary school age)","children_out_of_school_pct_of_primary_school_age"
"Children out of school, female (% of female primary school age)","children_out_of_school_female_pct_of_female_primary_school_ag"
"Children out of school, male (% of male primary school age)","children_out_of_school_male_pct_of_male_primary_school_age"
"Children out of school, primary","children_out_of_school_primary"
"Children out of school, primary, female","children_out_of_school_primary_female"
"Children out of school, primary, male","children_out_of_school_primary_male"
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)","commercial_banks_and_other_lending_ppg_png_nfl_current_us"
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","debt_service_on_external_debt_public_and_publicly_guaranteed_"
"Debt service on external debt, total (TDS, current US$)","debt_service_on_external_debt_total_tds_current_us"
"External debt stocks (% of GNI)","external_debt_stocks_pct_of_gni"
"External debt stocks, long-term (DOD, current US$)","external_debt_stocks_long_term_dod_current_us"
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","external_debt_stocks_public_and_publicly_guaranteed_ppg_dod_"
"External debt stocks, total (DOD, current US$)","external_debt_stocks_total_dod_current_us"
"Gross intake ratio in first grade of primary education, female (% of relevant age group)","gross_intake_ratio_in_first_grade_of_primary_education_female"
"Gross intake ratio in first grade of primary education, male (% of relevant age group)","gross_intake_ratio_in_first_grade_of_primary_education_male_p"
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","gross_intake_ratio_in_first_grade_of_primary_education_total_"
"IBRD loans and IDA credits (DOD, current US$)","ibrd_loans_and_ida_credits_dod_current_us"
"IFC, private nonguaranteed (NFL, US$)","ifc_private_nonguaranteed_nfl_us"
"IMF repurchases and charges (TDS, current US$)","imf_repurchases_and_charges_tds_current_us"
"Lower secondary completion rate, female (% of relevant age group)","lower_secondary_completion_rate_female_pct_of_relevant_age_gro"
"Lower secondary completion rate, male (% of relevant age group)","lower_secondary_completion_rate_male_pct_of_relevant_age_group"
"Lower secondary completion rate, total (% of relevant age group)","lower_secondary_completion_rate_total_pct_of_relevant_age_grou"
"Multilateral debt service (% of public and publicly guaranteed debt service)","multilateral_debt_service_pct_of_public_and_publicly_guarante"
"Multilateral debt service (TDS, current US$)","multilateral_debt_service_tds_current_us"
"Net financial flows, bilateral (NFL, current US$)","net_financial_flows_bilateral_nfl_current_us"
"Net financial flows, IMF nonconcessional (NFL, current US$)","net_financial_flows_imf_nonconcessional_nfl_current_us"
"Net financial flows, multilateral (NFL, current US$)","net_financial_flows_multilateral_nfl_current_us"
"Net official flows from UN agencies, UNDP (current US$)","net_official_flows_from_un_agencies_undp_current_us"
"Net official flows from UN agencies, UNICEF (current US$)","net_official_flows_from_un_agencies_unicef_current_us"
"Net official flows from UN agencies, UNTA (current US$)","net_official_flows_from_un_agencies_unta_current_us"
"Net official flows from UN agencies, WFP (current US$)","net_official_flows_from_un_agencies_wfp_current_us"
"Over-age students, primary (% of enrollment)","over_age_students_primary_pct_of_enrollment"
"Over-age students, primary, female (% of female enrollment)","over_age_students_primary_female_pct_of_female_enrollment"
"Over-age students, primary, male (% of male enrollment)","over_age_students_primary_male_pct_of_male_enrollment"
"PPG, other private creditors (NFL, current US$)","ppg_other_private_creditors_nfl_current_us"
"Primary education, teachers","primary_education_teachers"
"Primary education, teachers (% female)","primary_education_teachers_pct_female"
"Pupil-teacher ratio, primary","pupil_teacher_ratio_primary"
"School enrollment, primary (% net)","school_enrollment_primary_pct_net"
"School enrollment, primary, female (% net)","school_enrollment_primary_female_pct_net"
"School enrollment, primary, male (% net)","school_enrollment_primary_male_pct_net"
"School enrollment, primary, private (% of total primary)","school_enrollment_primary_private_pct_of_total_primary"
"School enrollment, secondary (% net)","school_enrollment_secondary_pct_net"
"School enrollment, secondary, female (% net)","school_enrollment_secondary_female_pct_net"
"School enrollment, secondary, male (% net)","school_enrollment_secondary_male_pct_net"
"Air transport, freight (million ton-km)","air_transport_freight_million_ton_km"
"Expenditure on primary education (% of government expenditure on education)","expenditure_on_primary_education_pct_of_government_expenditur"
"Expenditure on secondary education (% of government expenditure on education)","expenditure_on_secondary_education_pct_of_government_expenditu"
"Expenditure on tertiary education (% of government expenditure on education)","expenditure_on_tertiary_education_pct_of_government_expenditu"
"External debt stocks, short-term (DOD, current US$)","external_debt_stocks_short_term_dod_current_us"
"Government expenditure on education, total (% of GDP)","government_expenditure_on_education_total_pct_of_gdp"
"Net bilateral aid flows from DAC donors, Finland (current US$)","net_bilateral_aid_flows_from_dac_donors_finland_current_us"
"Net official flows from UN agencies, UNHCR (current US$)","net_official_flows_from_un_agencies_unhcr_current_us"
"Pupil-teacher ratio, tertiary","pupil_teacher_ratio_tertiary"
"School enrollment, tertiary (gross), gender parity index (GPI)","school_enrollment_tertiary_gross_gender_parity_index_gpi"
"School enrollment, tertiary, female (% gross)","school_enrollment_tertiary_female_pct_gross"
"School enrollment, tertiary, male (% gross)","school_enrollment_tertiary_male_pct_gross"
"Secondary education, teachers (% female)","secondary_education_teachers_pct_female"
"Secondary education, teachers, female","secondary_education_teachers_female"
"Short-term debt (% of total reserves)","short_term_debt_pct_of_total_reserves"
"Tertiary education, academic staff (% female)","tertiary_education_academic_staff_pct_female"
"Foreign direct investment, net inflows (% of GDP)","foreign_direct_investment_net_inflows_pct_of_gdp"
"Foreign direct investment, net inflows (BoP, current US$)","foreign_direct_investment_net_inflows_bop_current_us"
"Adjusted net national income (annual % growth)","adjusted_net_national_income_annual_pct_growth"
"Adjusted net national income (constant 2015 US$)","adjusted_net_national_income_constant_2015_us"
"Adjusted net national income (current US$)","adjusted_net_national_income_current_us"
"Adjusted net national income per capita (annual % growth)","adjusted_net_national_income_per_capita_annual_pct_growth"
"Adjusted net national income per capita (constant 2015 US$)","adjusted_net_national_income_per_capita_constant_2015_us"
"Adjusted net national income per capita (current US$)","adjusted_net_national_income_per_capita_current_us"
"Adjusted savings: energy depletion (% of GNI)","adjusted_savings_energy_depletion_pct_of_gni"
"Adjusted savings: natural resources depletion (% of GNI)","adjusted_savings_natural_resources_depletion_pct_of_gni"
"Coal rents (% of GDP)","coal_rents_pct_of_gdp"
"Foreign direct investment, net outflows (% of GDP)","foreign_direct_investment_net_outflows_pct_of_gdp"
"Foreign direct investment, net outflows (BoP, current US$)","foreign_direct_investment_net_outflows_bop_current_us"
"Natural gas rents (% of GDP)","natural_gas_rents_pct_of_gdp"
"Oil rents (% of GDP)","oil_rents_pct_of_gdp"
"School enrollment, preprimary, female (% gross)","school_enrollment_preprimary_female_pct_gross"
"School enrollment, preprimary, male (% gross)","school_enrollment_preprimary_male_pct_gross"
"Net primary income (Net income from abroad) (constant LCU)","net_primary_income_net_income_from_abroad_constant_lcu"
"Adjusted savings: carbon dioxide damage (% of GNI)","adjusted_savings_carbon_dioxide_damage_pct_of_gni"
"Adjusted savings: carbon dioxide damage (current US$)","adjusted_savings_carbon_dioxide_damage_current_us"
"Net financial flows, others (NFL, current US$)","net_financial_flows_others_nfl_current_us"
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","portfolio_investment_bonds_ppg_png_nfl_current_us"
"PPG, bonds (NFL, current US$)","ppg_bonds_nfl_current_us"
"Adjusted savings: gross savings (% of GNI)","adjusted_savings_gross_savings_pct_of_gni"
"Adjusted savings: net national savings (% of GNI)","adjusted_savings_net_national_savings_pct_of_gni"
"Adjusted savings: net national savings (current US$)","adjusted_savings_net_national_savings_current_us"
"Personal remittances, paid (current US$)","personal_remittances_paid_current_us"
"Personal remittances, received (% of GDP)","personal_remittances_received_pct_of_gdp"
"Personal remittances, received (current US$)","personal_remittances_received_current_us"
