"indicator_name","table_name"
"Transport services (% of service exports, BoP)","wdi_trade_services"
"Transport services (% of service imports, BoP)","wdi_trade_services"
"Travel services (% of commercial service exports)","wdi_trade_services"
"Travel services (% of commercial service imports)","wdi_trade_services"
"Travel services (% of service exports, BoP)","wdi_trade_services"
"Travel services (% of service imports, BoP)","wdi_trade_services"
"Financial intermediary services indirectly Measured (FISIM) (current LCU)","wdi_financial_sector_access"
"Contraceptive prevalence, any method (% of married women ages 15-49)","wdi_health_reproductive"
"Contraceptive prevalence, any modern method (% of married women ages 15-49)","wdi_health_reproductive"
"Deposit interest rate (%)","wdi_financial_sector_stability"
"Unemployment, female (% of female labor force) (national estimate)","wdi_unemployment_youth"
"Unemployment, male (% of male labor force) (national estimate)","wdi_unemployment_youth"
"Unemployment, total (% of total labor force) (national estimate)","wdi_unemployment_youth"
"International migrant stock, total","wdi_migration_refugees"
"Mobile cellular subscriptions","wdi_technology_ict_usage"
"Mobile cellular subscriptions (per 100 people)","wdi_technology_ict_usage"
"Net bilateral aid flows from DAC donors, Australia (current US$)","wdi_public_debt"
"Financial intermediary services indirectly Measured (FISIM) (constant LCU)","wdi_financial_sector_access"
"ICT service exports (% of service exports, BoP)","wdi_technology_ict_usage"
"ICT service exports (BoP, current US$)","wdi_technology_ict_usage"
"Insurance and financial services (% of commercial service exports)","wdi_trade_services"
"Insurance and financial services (% of commercial service imports)","wdi_trade_services"
"Insurance and financial services (% of service exports, BoP)","wdi_trade_services"
"Insurance and financial services (% of service imports, BoP)","wdi_trade_services"
"Net ODA received (% of imports of goods, services and primary income)","wdi_public_debt"
"Gini index","wdi_income_inequality"
"Income share held by fourth 20%","wdi_income_inequality"
"Income share held by highest 10%","wdi_income_inequality"
"Income share held by highest 20%","wdi_income_inequality"
"Income share held by lowest 10%","wdi_income_inequality"
"Income share held by lowest 20%","wdi_income_inequality"
"Income share held by second 20%","wdi_income_inequality"
"Income share held by third 20%","wdi_income_inequality"
"Poverty gap at $3.00 a day (2021 PPP) (%)","wdi_poverty_headcount"
"Poverty gap at $4.20 a day (2021 PPP) (%)","wdi_poverty_headcount"
"Poverty gap at $8.30 a day (2021 PPP) (%)","wdi_poverty_headcount"
"Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)","wdi_poverty_headcount"
"Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population)","wdi_poverty_headcount"
"Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population)","wdi_poverty_headcount"
"Poverty headcount ratio at societal poverty line (% of population)","wdi_poverty_headcount"
"Proportion of people living below 50 percent of median income (%)","wdi_poverty_headcount"
"Prosperity gap (average shortfall from a prosperity standard of $28/day)","wdi_poverty_headcount"
"Net bilateral aid flows from DAC donors, Portugal (current US$)","wdi_public_debt"
"Persistence to grade 5, female (% of cohort)","wdi_education_enrollment"
"Persistence to grade 5, male (% of cohort)","wdi_education_enrollment"
"Persistence to grade 5, total (% of cohort)","wdi_education_enrollment"
"Persistence to last grade of primary, female (% of cohort)","wdi_education_enrollment"
"Persistence to last grade of primary, male (% of cohort)","wdi_education_enrollment"
"Persistence to last grade of primary, total (% of cohort)","wdi_education_enrollment"
"PNG, commercial banks and other creditors (NFL, current US$)","wdi_public_debt"
"PPG, commercial banks (NFL, current US$)","wdi_public_debt"
"PPG, IBRD (DOD, current US$)","wdi_public_debt"
"PPG, IDA (DOD, current US$)","wdi_public_debt"
"PPG, official creditors (NFL, US$)","wdi_public_debt"
"PPG, private creditors (NFL, US$)","wdi_public_debt"
"Primary completion rate, female (% of relevant age group)","wdi_education_enrollment"
"Primary completion rate, male (% of relevant age group)","wdi_education_enrollment"
"Primary completion rate, total (% of relevant age group)","wdi_education_enrollment"
"Primary education, duration (years)","wdi_education_enrollment"
"Primary education, pupils","wdi_education_enrollment"
"Primary education, pupils (% female)","wdi_education_enrollment"
"Primary school starting age (years)","wdi_education_enrollment"
"Progression to secondary school (%)","wdi_education_enrollment"
"Progression to secondary school, female (%)","wdi_education_enrollment"
"Progression to secondary school, male (%)","wdi_education_enrollment"
"Public and publicly guaranteed debt service (% of GNI)","wdi_public_debt"
"Pupil-teacher ratio, preprimary","wdi_education_quality_expenditure"
"Repeaters, primary, female (% of female enrollment)","wdi_education_enrollment"
"Repeaters, primary, male (% of male enrollment)","wdi_education_enrollment"
"Repeaters, primary, total (% of total enrollment)","wdi_education_enrollment"
"School enrollment, preprimary (% gross)","wdi_education_enrollment"
"School enrollment, primary (% gross)","wdi_education_enrollment"
"School enrollment, primary (gross), gender parity index (GPI)","wdi_education_enrollment"
"School enrollment, primary and secondary (gross), gender parity index (GPI)","wdi_education_enrollment"
"School enrollment, primary, female (% gross)","wdi_education_enrollment"
"School enrollment, primary, male (% gross)","wdi_education_enrollment"
"School enrollment, secondary (% gross)","wdi_education_enrollment"
"School enrollment, secondary (gross), gender parity index (GPI)","wdi_education_enrollment"
"School enrollment, secondary, female (% gross)","wdi_education_enrollment"
"School enrollment, secondary, male (% gross)","wdi_education_enrollment"
"School enrollment, tertiary (% gross)","wdi_education_enrollment"
"Secondary education, duration (years)","wdi_education_enrollment"
"Secondary education, general pupils","wdi_education_enrollment"
"Secondary education, general pupils (% female)","wdi_education_enrollment"
"Secondary education, pupils","wdi_education_enrollment"
"Secondary education, pupils (% female)","wdi_education_enrollment"
"Secondary education, vocational pupils","wdi_education_enrollment"
"Secondary education, vocational pupils (% female)","wdi_education_enrollment"
"Short-term debt (% of total external debt)","wdi_public_debt"
"Total debt service (% of GNI)","wdi_public_debt"
"Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","wdi_environment_emissions"
"Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","wdi_environment_emissions"
"Total natural resources rents (% of GDP)","wdi_environment_resources"
"Total reserves (% of total external debt)","wdi_public_debt"
"Use of IMF credit (DOD, current US$)","wdi_public_debt"
"Women Business and the Law Index Score (scale 1-100)","wdi_gender_women_empowerment"
"Adjusted savings: consumption of fixed capital (% of GNI)","wdi_gdp_national_accounts"
"Adjusted savings: consumption of fixed capital (current US$)","wdi_gdp_national_accounts"
"Adjusted savings: education expenditure (% of GNI)","wdi_education_quality_expenditure"
"Adjusted savings: education expenditure (current US$)","wdi_education_quality_expenditure"
"Adjusted savings: mineral depletion (% of GNI)","wdi_environment_resources"
"Adjusted savings: mineral depletion (current US$)","wdi_environment_resources"
"Adjusted savings: net forest depletion (% of GNI)","wdi_environment_resources"
"Adjusted savings: net forest depletion (current US$)","wdi_environment_resources"
"Air transport, passengers carried","wdi_infrastructure_transport"
"Air transport, registered carrier departures worldwide","wdi_infrastructure_transport"
"Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","wdi_environment_emissions"
"Forest rents (% of GDP)","wdi_environment_resources"
"Lower secondary school starting age (years)","wdi_education_enrollment"
"Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Agriculture (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Building (Energy) (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Industrial Processes (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Transport (Energy) (Mt CO2e)","wdi_environment_emissions"
"Methane (CH4) emissions from Waste (Mt CO2e)","wdi_environment_emissions"
"Mineral rents (% of GDP)","wdi_environment_resources"
"Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)","wdi_environment_emissions"
"Nitrous oxide (N2O) emissions from Waste (Mt CO2e)","wdi_environment_emissions"
"Pupil-teacher ratio, secondary","wdi_education_quality_expenditure"
"Secondary education, teachers","wdi_education_quality_expenditure"
"Adjusted savings: energy depletion (current US$)","wdi_environment_resources"
"Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","wdi_environment_emissions"
"Carbon dioxide (CO2) emissions from Waste (Mt CO2e)","wdi_environment_emissions"
"Net financial flows, IBRD (NFL, current US$)","wdi_public_debt"
"Net financial flows, IDA (NFL, current US$)","wdi_public_debt"
"Adjusted net enrollment rate, primary (% of primary school age children)","wdi_education_enrollment"
"Adjusted net enrollment rate, primary, female (% of primary school age children)","wdi_education_enrollment"
"Adjusted net enrollment rate, primary, male (% of primary school age children)","wdi_education_enrollment"
"Adolescents out of school (% of lower secondary school age)","wdi_education_enrollment"
"Adolescents out of school, female (% of female lower secondary school age)","wdi_education_enrollment"
"Adolescents out of school, male (% of male lower secondary school age)","wdi_education_enrollment"
"Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)","wdi_environment_emissions"
"Children out of school (% of primary school age)","wdi_education_enrollment"
"Children out of school, female (% of female primary school age)","wdi_education_enrollment"
"Children out of school, male (% of male primary school age)","wdi_education_enrollment"
"Children out of school, primary","wdi_education_enrollment"
"Children out of school, primary, female","wdi_education_enrollment"
"Children out of school, primary, male","wdi_education_enrollment"
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)","wdi_public_debt"
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","wdi_public_debt"
"Debt service on external debt, total (TDS, current US$)","wdi_public_debt"
"External debt stocks (% of GNI)","wdi_public_debt"
"External debt stocks, long-term (DOD, current US$)","wdi_public_debt"
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","wdi_public_debt"
"External debt stocks, total (DOD, current US$)","wdi_public_debt"
"Gross intake ratio in first grade of primary education, female (% of relevant age group)","wdi_education_enrollment"
"Gross intake ratio in first grade of primary education, male (% of relevant age group)","wdi_education_enrollment"
"Gross intake ratio in first grade of primary education, total (% of relevant age group)","wdi_education_enrollment"
"IBRD loans and IDA credits (DOD, current US$)","wdi_public_debt"
"IFC, private nonguaranteed (NFL, US$)","wdi_public_debt"
"IMF repurchases and charges (TDS, current US$)","wdi_public_debt"
"Lower secondary completion rate, female (% of relevant age group)","wdi_education_enrollment"
"Lower secondary completion rate, male (% of relevant age group)","wdi_education_enrollment"
"Lower secondary completion rate, total (% of relevant age group)","wdi_education_enrollment"
"Multilateral debt service (% of public and publicly guaranteed debt service)","wdi_public_debt"
"Multilateral debt service (TDS, current US$)","wdi_public_debt"
"Net financial flows, bilateral (NFL, current US$)","wdi_public_debt"
"Net financial flows, IMF nonconcessional (NFL, current US$)","wdi_public_debt"
"Net financial flows, multilateral (NFL, current US$)","wdi_public_debt"
"Net official flows from UN agencies, UNDP (current US$)","wdi_public_debt"
"Net official flows from UN agencies, UNICEF (current US$)","wdi_public_debt"
"Net official flows from UN agencies, UNTA (current US$)","wdi_public_debt"
"Net official flows from UN agencies, WFP (current US$)","wdi_public_debt"
"Over-age students, primary (% of enrollment)","wdi_education_enrollment"
"Over-age students, primary, female (% of female enrollment)","wdi_education_enrollment"
"Over-age students, primary, male (% of male enrollment)","wdi_education_enrollment"
"PPG, other private creditors (NFL, current US$)","wdi_public_debt"
"Primary education, teachers","wdi_education_quality_expenditure"
"Primary education, teachers (% female)","wdi_education_quality_expenditure"
"Pupil-teacher ratio, primary","wdi_education_quality_expenditure"
"School enrollment, primary (% net)","wdi_education_enrollment"
"School enrollment, primary, female (% net)","wdi_education_enrollment"
"School enrollment, primary, male (% net)","wdi_education_enrollment"
"School enrollment, primary, private (% of total primary)","wdi_education_enrollment"
"School enrollment, secondary (% net)","wdi_education_enrollment"
"School enrollment, secondary, female (% net)","wdi_education_enrollment"
"School enrollment, secondary, male (% net)","wdi_education_enrollment"
"Air transport, freight (million ton-km)","wdi_infrastructure_transport"
"Expenditure on primary education (% of government expenditure on education)","wdi_education_quality_expenditure"
"Expenditure on secondary education (% of government expenditure on education)","wdi_education_quality_expenditure"
"Expenditure on tertiary education (% of government expenditure on education)","wdi_education_quality_expenditure"
"External debt stocks, short-term (DOD, current US$)","wdi_public_debt"
"Government expenditure on education, total (% of GDP)","wdi_education_quality_expenditure"
"Net bilateral aid flows from DAC donors, Finland (current US$)","wdi_public_debt"
"Net official flows from UN agencies, UNHCR (current US$)","wdi_public_debt"
"Pupil-teacher ratio, tertiary","wdi_education_quality_expenditure"
"School enrollment, tertiary (gross), gender parity index (GPI)","wdi_education_enrollment"
"School enrollment, tertiary, female (% gross)","wdi_education_enrollment"
"School enrollment, tertiary, male (% gross)","wdi_education_enrollment"
"Secondary education, teachers (% female)","wdi_education_quality_expenditure"
"Secondary education, teachers, female","wdi_education_quality_expenditure"
"Short-term debt (% of total reserves)","wdi_public_debt"
"Tertiary education, academic staff (% female)","wdi_education_quality_expenditure"
"Foreign direct investment, net inflows (% of GDP)","wdi_balance_of_payments"
"Foreign direct investment, net inflows (BoP, current US$)","wdi_balance_of_payments"
"Adjusted net national income (annual % growth)","wdi_economic_growth"
"Adjusted net national income (constant 2015 US$)","wdi_gdp_national_accounts"
"Adjusted net national income (current US$)","wdi_gdp_national_accounts"
"Adjusted net national income per capita (annual % growth)","wdi_economic_growth"
"Adjusted net national income per capita (constant 2015 US$)","wdi_gdp_per_capita"
"Adjusted net national income per capita (current US$)","wdi_gdp_per_capita"
"Adjusted savings: energy depletion (% of GNI)","wdi_environment_resources"
"Adjusted savings: natural resources depletion (% of GNI)","wdi_environment_resources"
"Coal rents (% of GDP)","wdi_environment_resources"
"Foreign direct investment, net outflows (% of GDP)","wdi_balance_of_payments"
"Foreign direct investment, net outflows (BoP, current US$)","wdi_balance_of_payments"
"Natural gas rents (% of GDP)","wdi_environment_resources"
"Oil rents (% of GDP)","wdi_environment_resources"
"School enrollment, preprimary, female (% gross)","wdi_education_enrollment"
"School enrollment, preprimary, male (% gross)","wdi_education_enrollment"
"Net primary income (Net income from abroad) (constant LCU)","wdi_balance_of_payments"
"Adjusted savings: carbon dioxide damage (% of GNI)","wdi_environment_emissions"
"Adjusted savings: carbon dioxide damage (current US$)","wdi_environment_emissions"
"Net financial flows, others (NFL, current US$)","wdi_public_debt"
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","wdi_financial_sector_markets"
"PPG, bonds (NFL, current US$)","wdi_public_debt"
"Adjusted savings: gross savings (% of GNI)","wdi_gdp_national_accounts"
"Adjusted savings: net national savings (% of GNI)","wdi_gdp_national_accounts"
"Adjusted savings: net national savings (current US$)","wdi_gdp_national_accounts"
"Personal remittances, paid (current US$)","wdi_balance_of_payments"
"Personal remittances, received (% of GDP)","wdi_balance_of_payments"
"Personal remittances, received (current US$)","wdi_balance_of_payments"
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","wdi_agriculture_production"
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","wdi_environment_resources"
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","wdi_environment_resources"
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","wdi_public_debt"
"Net financial flows, RDB concessional (NFL, current US$)","wdi_public_debt"
"Net financial flows, RDB nonconcessional (NFL, current US$)","wdi_public_debt"
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","wdi_public_debt"
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)","wdi_public_debt"
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","wdi_education_attainment_literacy"
"Net financial flows, IMF concessional (NFL, current US$)","wdi_public_debt"
"Personal transfers, receipts (BoP, current US$)","wdi_balance_of_payments"
"Total debt service (% of exports of goods, services and primary income)","wdi_public_debt"
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","wdi_education_attainment_literacy"
"Interest rate spread (lending rate minus deposit rate, %)","wdi_financial_sector_stability"
"Adjusted net savings, excluding particulate emission damage (% of GNI)","wdi_gdp_national_accounts"
"Immunization, DPT (% of children ages 12-23 months)","wdi_health_disease_prevention"
"Immunization, measles (% of children ages 12-23 months)","wdi_health_disease_prevention"
"Net bilateral aid flows from DAC donors, Ireland (current US$)","wdi_public_debt"
"Net bilateral aid flows from DAC donors, New Zealand (current US$)","wdi_public_debt"
"Net official flows from UN agencies, IFAD (current US$)","wdi_public_debt"
"Net official flows from UN agencies, UNFPA (current US$)","wdi_public_debt"
"Stocks traded, turnover ratio of domestic shares (%)","wdi_financial_sector_markets"
"Newborns protected against tetanus (%)","wdi_health_disease_prevention"
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","wdi_public_debt"
"Short-term debt (% of exports of goods, services and primary income)","wdi_public_debt"
"Literacy rate, adult female (% of females ages 15 and above)","wdi_education_attainment_literacy"
"Literacy rate, adult male (% of males ages 15 and above)","wdi_education_attainment_literacy"
"Literacy rate, adult total (% of people ages 15 and above)","wdi_education_attainment_literacy"
"Literacy rate, youth (ages 15-24), gender parity index (GPI)","wdi_education_attainment_literacy"
"Literacy rate, youth female (% of females ages 15-24)","wdi_education_attainment_literacy"
"Literacy rate, youth male (% of males ages 15-24)","wdi_education_attainment_literacy"
"Literacy rate, youth total (% of people ages 15-24)","wdi_education_attainment_literacy"
"Industrial design applications, nonresident, by count","wdi_technology_innovation_rd"
"Industrial design applications, resident, by count","wdi_technology_innovation_rd"
"Listed domestic companies, total","wdi_financial_sector_markets"
"Market capitalization of listed domestic companies (% of GDP)","wdi_financial_sector_markets"
"Market capitalization of listed domestic companies (current US$)","wdi_financial_sector_markets"
"Net bilateral aid flows from DAC donors, Spain (current US$)","wdi_public_debt"
"Net official flows from UN agencies, UNRWA (current US$)","wdi_public_debt"
"Patent applications, nonresidents","wdi_technology_innovation_rd"
"Patent applications, residents","wdi_technology_innovation_rd"
"Stocks traded, total value (% of GDP)","wdi_financial_sector_markets"
"Stocks traded, total value (current US$)","wdi_financial_sector_markets"
"Compensation of employees (% of expense)","wdi_public_finance_expenditure"
"Expense (% of GDP)","wdi_public_finance_expenditure"
"Goods and services expense (% of expense)","wdi_public_finance_expenditure"
"Grants and other revenue (% of revenue)","wdi_public_finance_revenue"
"Interest payments (% of expense)","wdi_public_finance_expenditure"
"Interest payments (% of revenue)","wdi_public_finance_revenue"
"Net incurrence of liabilities, total (% of GDP)","wdi_public_debt"
"Net investment in nonfinancial assets (% of GDP)","wdi_public_finance_expenditure"
"Net lending (+) / net borrowing (-) (% of GDP)","wdi_public_finance_expenditure"
"Other taxes (% of revenue)","wdi_public_finance_revenue"
"Revenue, excluding grants (% of GDP)","wdi_public_finance_revenue"
"Social contributions (% of revenue)","wdi_public_finance_revenue"
"Tax revenue (% of GDP)","wdi_public_finance_revenue"
"Taxes on goods and services (% of revenue)","wdi_public_finance_revenue"
"Taxes on income, profits and capital gains (% of revenue)","wdi_public_finance_revenue"
"Taxes on international trade (% of revenue)","wdi_public_finance_revenue"
"Government expenditure on education, total (% of government expenditure)","wdi_education_quality_expenditure"
"Net acquisition of financial assets (% of GDP)","wdi_public_finance_expenditure"
"F-gases emissions from Industrial Processes (Mt CO2e)","wdi_environment_emissions"
"Export value index (2015 = 100)","wdi_trade_merchandise_exports"
"Import value index (2015 = 100)","wdi_trade_merchandise_imports"
"Export unit value index (2015 = 100)","wdi_trade_merchandise_exports"
"Export volume index (2015 = 100)","wdi_trade_merchandise_exports"
"Import unit value index (2015 = 100)","wdi_trade_merchandise_imports"
"Import volume index (2015 = 100)","wdi_trade_merchandise_imports"
"Net barter terms of trade index (2015 = 100)","wdi_balance_of_payments"
"Real effective exchange rate index (2010 = 100)","wdi_inflation_prices"
"Customs and other import duties (% of tax revenue)","wdi_public_finance_revenue"
"Customs and other import duties (current LCU)","wdi_public_finance_revenue"
"Expense (current LCU)","wdi_public_finance_expenditure"
"Grants and other revenue (current LCU)","wdi_public_finance_revenue"
"Interest payments (current LCU)","wdi_public_finance_expenditure"
"Net incurrence of liabilities, total (current LCU)","wdi_public_debt"
"Net investment in nonfinancial assets (current LCU)","wdi_public_finance_expenditure"
"Net lending (+) / net borrowing (-) (current LCU)","wdi_public_finance_expenditure"
"Other taxes (current LCU)","wdi_public_finance_revenue"
"Revenue, excluding grants (current LCU)","wdi_public_finance_revenue"
"Subsidies and other transfers (% of expense)","wdi_public_finance_expenditure"
"Subsidies and other transfers (current LCU)","wdi_public_finance_expenditure"
"Tax revenue (current LCU)","wdi_public_finance_revenue"
"Taxes on exports (% of tax revenue)","wdi_public_finance_revenue"
"Taxes on exports (current LCU)","wdi_public_finance_revenue"
"Taxes on goods and services (current LCU)","wdi_public_finance_revenue"
"Taxes on income, profits and capital gains (% of total taxes)","wdi_public_finance_revenue"
"Taxes on income, profits and capital gains (current LCU)","wdi_public_finance_revenue"
"Taxes on international trade (current LCU)","wdi_public_finance_revenue"
"Compensation of employees (current LCU)","wdi_public_finance_expenditure"
"Goods and services expense (current LCU)","wdi_public_finance_expenditure"
"Social contributions (current LCU)","wdi_public_finance_revenue"
"Taxes on goods and services (% value added of industry and services)","wdi_public_finance_revenue"
"Net ODA received (% of central government expense)","wdi_public_debt"
"Part time employment, female (% of total female employment)","wdi_employment_by_sector"
"Part time employment, male (% of total male employment)","wdi_employment_by_sector"
"Part time employment, total (% of total employment)","wdi_employment_by_sector"
"Share of youth not in education, employment or training, female (% of female youth population)","wdi_unemployment_youth"
"Share of youth not in education, employment or training, male (% of male youth population)","wdi_unemployment_youth"
"Share of youth not in education, employment or training, total (% of youth population)","wdi_unemployment_youth"
"Preprimary education, duration (years)","wdi_education_enrollment"
"Central government debt, total (% of GDP)","wdi_public_debt"
"Central government debt, total (current LCU)","wdi_public_debt"
"Net acquisition of financial assets (current LCU)","wdi_public_finance_expenditure"
"Other expense (current LCU)","wdi_public_finance_expenditure"
"Investment in energy with private participation (current US$)","wdi_energy_consumption"
"Public private partnerships investment in energy (current US$)","wdi_energy_consumption"
"Births attended by skilled health staff (% of total)","wdi_health_reproductive"
"Compulsory education, duration (years)","wdi_education_enrollment"
"Pupil-teacher ratio, lower secondary","wdi_education_quality_expenditure"
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","wdi_education_attainment_literacy"
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","wdi_education_attainment_literacy"
"Government expenditure per student, tertiary (% of GDP per capita)","wdi_education_quality_expenditure"
"Labor force with advanced education (% of total working-age population with advanced education)","wdi_labor_force_participation"
"Labor force with advanced education, female (% of female working-age population with advanced education)","wdi_labor_force_participation"
"Labor force with advanced education, male (% of male working-age population with advanced education)","wdi_labor_force_participation"
"Labor force with basic education (% of total working-age population with basic education)","wdi_labor_force_participation"
"Labor force with basic education, female (% of female working-age population with basic education)","wdi_labor_force_participation"
"Labor force with basic education, male (% of male working-age population with basic education)","wdi_labor_force_participation"
"Labor force with intermediate education (% of total working-age population with intermediate education)","wdi_labor_force_participation"
"Labor force with intermediate education, female (% of female working-age population with intermediate education)","wdi_labor_force_participation"
"Labor force with intermediate education, male (% of male working-age population with intermediate education)","wdi_labor_force_participation"
"Unemployment with advanced education (% of total labor force with advanced education)","wdi_unemployment_youth"
"Unemployment with advanced education, female (% of female labor force with advanced education)","wdi_unemployment_youth"
"Unemployment with advanced education, male (% of male labor force with advanced education)","wdi_unemployment_youth"
"Unemployment with basic education (% of total labor force with basic education)","wdi_unemployment_youth"
"Unemployment with basic education, female (% of female labor force with basic education)","wdi_unemployment_youth"
"Unemployment with basic education, male (% of male labor force with basic education)","wdi_unemployment_youth"
"Unemployment with intermediate education (% of total labor force with intermediate education)","wdi_unemployment_youth"
"Unemployment with intermediate education, female (% of female labor force with intermediate education)","wdi_unemployment_youth"
"Unemployment with intermediate education, male (% of male labor force with intermediate education)","wdi_unemployment_youth"
"Diarrhea treatment (% of children under 5 who received ORS packet)","wdi_health_disease_prevention"
"Immunization, HepB3 (% of one-year-old children)","wdi_health_disease_prevention"
"Lifetime risk of maternal death (%)","wdi_health_reproductive"
"Lifetime risk of maternal death (1 in: rate varies by country)","wdi_health_reproductive"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)","wdi_health_reproductive"
"Number of maternal deaths","wdi_health_reproductive"
"Pupil-teacher ratio, upper secondary","wdi_education_quality_expenditure"
"Adjusted net savings, including particulate emission damage (% of GNI)","wdi_gdp_national_accounts"
"Adjusted savings: particulate emission damage (% of GNI)","wdi_environment_emissions"
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","wdi_employment_by_sector"
"Alternative and nuclear energy (% of total energy use)","wdi_energy_consumption"
"Armed forces personnel (% of total labor force)","wdi_labor_force_participation"
"Armed forces personnel, total","wdi_labor_force_participation"
"Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990)","wdi_environment_emissions"
"Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","wdi_environment_emissions"
"Combustible renewables and waste (% of total energy)","wdi_energy_production"
"Contributing family workers, female (% of female employment) (modeled ILO estimate)","wdi_employment_by_sector"
"Contributing family workers, male (% of male employment) (modeled ILO estimate)","wdi_employment_by_sector"
